124,861.3,63.35962026,440.32,-172.59,1.081537,100,1,1000,333.33,0,0,0,0,0,0,0,0,0,0,0
150,67.29,-2.187707922,77.09,-22.54,1.062805,100,1,160,0,0,0,0,0,0,0,0,0,0,0,0
221,-155.39,33.68460321,183.92,-65.3,0.984682,100,1,100,-207.18,0,0,0,0,0,0,0,0,0,0,0
338,83.7,2.692059667,55.54,-19.16,1.048249,100,1,120,0,0,0,0,0,0,0,0,0,0,0,0
352,1250.4,294.8963393,926.35,-297.68,1.055378,100,1,2000,666.67,0,0,0,0,0,0,0,0,0,0,0
413,231,26.29051393,124.12,-49.84,1.05013,100,1,280,0,0,0,0,0,0,0,0,0,0,0,0
453,260.1,64.71106052,257.23,-74.4,1.018914,100,1,540,0,0,0,0,0,0,0,0,0,0,0,0
516,539.4,195.4695283,261.79,-106.67,1.075592,100,1,600,200,0,0,0,0,0,0,0,0,0,0,0
564,-51.67,5.913652679,18.47,-19.35,1.069817,100,1,100,-68.89,0,0,0,0,0,0,0,0,0,0,0
583,-270,6.109916544,17.88,-7.03,1.045397,100,1,100,-360,0,0,0,0,0,0,0,0,0,0,0
615,38.2,0.7342289873,17.09,-7.79,1.063876,100,1,40,0,0,0,0,0,0,0,0,0,0,0,0
616,379.2,69.70206671,217.9,-81.16,1.048713,100,1,480,160,0,0,0,0,0,0,0,0,0,0,0
639,-46.2,133.0076723,135.52,-38.9,1.051376,100,1,100,-61.6,0,0,0,0,0,0,0,0,0,0,0
682,37.4,8.981030815,38.77,-11.06,1.0691,100,1,80,0,0,0,0,0,0,0,0,0,0,0,0
749,198.88,0.6999739187,105.69,-43.84,1.057884,100,1,240,0,0,0,0,0,0,0,0,0,0,0,0
757,116.7,51.3,51.3,-23.41,1.017567,100,1,120,0,0,0,0,0,0,0,0,0,0,0,0
776,-111.4,8.255396184,18.16,-6.73,1.026368,100,1,100,-148.53,0,0,0,0,0,0,0,0,0,0,0
778,16.5,4.789666797,12.37,-9.36,1.049411,100,1,33.58,0,0,0,0,0,0,0,0,0,0,0,0
795,58.4,10.35650679,36.75,-13.04,1.035522,100,1,80,0,0,0,0,0,0,0,0,0,0,0,0
803,-89.2,11.49812127,74.03,-25.54,1.041369,100,1,100,-118.93,0,0,0,0,0,0,0,0,0,0,0
823,1274.2,316.963087,926.68,-298.31,1.044097,100,1,2000,666.67,0,0,0,0,0,0,0,0,0,0,0
851,59.56,52.35338476,96.64,-27.81,1.00025,100,1,200,0,0,0,0,0,0,0,0,0,0,0,0
858,855.6,171.1208837,440.67,-172.15,1.031745,100,1,1000,333.33,0,0,0,0,0,0,0,0,0,0,0
891,1702.8,694.9299707,1097.41,-373.91,1.064525,100,1,2400,800,0,0,0,0,0,0,0,0,0,0,0
972,1221.2,404.4369684,934.73,-291.52,1.072621,100,1,2000,666.67,0,0,0,0,0,0,0,0,0,0,0
1001,92.1,55.02,55.02,-19.81,1.074143,100,1,120,0,0,0,0,0,0,0,0,0,0,0,0
1002,171,17.5302786,89.55,-35.15,1.041506,100,1,200,0,0,0,0,0,0,0,0,0,0,0,0
1043,829.5,49.20393756,387.88,-163.4,1.028946,100,1,900,300,0,0,0,0,0,0,0,0,0,0,0
1083,91.8,11.41872618,54.91,-19.88,1.049472,100,1,120,0,0,0,0,0,0,0,0,0,0,0,0
1093,837,93.9238678,550.69,-185.15,1.027056,100,1,1200,400,0,0,0,0,0,0,0,0,0,0,0
